,,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,rmpA,rmpA2,AGly,Col,Fcyn,Flq,Gly,MLS,Phe,Rif,Sul,Tet,Tgc,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_ESBL_inhR,Bla_broad,Bla_broad_inhR,omp,
2019,ST11,0.879828326,0.056866953,0.166309013,0.021459227,0.095493562,0.160944206,0.966738197,0.074034335,0.183476395,0.997854077,0,0.410944206,0.575107296,0.145922747,0.561158798,0.320815451,0,0.651287554,0.86695279,0.805793991,0.82832618,0,0.785407725,0.004291845,,ST11
2020,ST11,0.879828326,0.056866953,0.16416309,0.021459227,0.096566524,0.158798283,0.978540773,0.075107296,0.183476395,0.997854077,0.075107296,0.410944206,0.576180258,0.145922747,0.566523605,0.320815451,0,0.652360515,0.861587983,0.809012876,0.83583691,,0.790772532,0.001072961,0.71888412,ST11
2019,ST13,0.55,0.35,0,0,0,0,0.625,0,0,0.45,0,0.125,0.275,0,0.6,0.45,0,0.55,0.55,0.375,0.875,0.05,0.1,0,,ST13
2020,ST13,0.55,0.35,0,0,0,0,0.65,0,0,0.45,0.05,0.125,0.275,0,0.6,0.45,0,0.55,0.525,0.375,0.425,,0.975,0,0.175,ST13
2019,ST14,0.661016949,0.04519774,0.016949153,0.011299435,0.016949153,0.011299435,0.853107345,0.073446328,0,0.683615819,0,0.395480226,0.536723164,0.124293785,0.751412429,0.406779661,0,0.757062147,0.84180791,0.406779661,0.610169492,0,0.18079096,0.011299435,,ST14
2020,ST14,0.655367232,0.039548023,0.005649718,0.005649718,0.011299435,0.011299435,0.870056497,0.073446328,0,0.683615819,0.237288136,0.395480226,0.553672316,0.124293785,0.751412429,0.406779661,0,0.757062147,0.824858757,0.406779661,0.627118644,,0.214689266,0,0.401129944,ST14
2019,ST15,0.547325103,0,0.115226337,0,0,0.080246914,0.950617284,0.04526749,0.002057613,0.981481481,0,0.436213992,0.66872428,0.174897119,0.87654321,0.598765432,0,0.843621399,0.989711934,0.479423868,0.864197531,0,0.008230453,0.012345679,,ST15
2020,ST15,0.547325103,0,0.113168724,0,0,0.0781893,0.96090535,0.053497942,0.002057613,0.981481481,0.164609053,0.436213992,0.683127572,0.174897119,0.87654321,0.598765432,0,0.843621399,0.985596708,0.483539095,0.872427984,,0.014403292,0,0.362139918,ST15
2019,ST16,0.76284585,0,0,0,0,0,0.940711462,0.067193676,0,0.988142292,0,0.292490119,0.252964427,0.110671937,0.877470356,0.837944664,0,0.889328063,0.849802372,0.794466403,0.944664032,0,0.007905138,0.964426877,,ST16
2020,ST16,0.76284585,0,0,0,0,0,0.956521739,0.067193676,0,0.988142292,0.596837945,0.292490119,0.256916996,0.110671937,0.877470356,0.837944664,0,0.889328063,0.841897233,0.794466403,0.944664032,,0.976284585,0,0.758893281,ST16
2019,ST17,0.430555556,0.006944444,0,0.006944444,0.006944444,0,0.659722222,0.0625,0,0.375,0,0.138888889,0.423611111,0.034722222,0.631944444,0.5625,0,0.5625,0.597222222,0.159722222,0.479166667,0,0.847222222,0.027777778,,ST17
2020,ST17,0.430555556,0.006944444,0,0.006944444,0.006944444,0,0.659722222,0.0625,0,0.375,0.020833333,0.138888889,0.423611111,0.034722222,0.631944444,0.5625,0,0.5625,0.590277778,0.166666667,0.493055556,,0.875,0,0.104166667,ST17
2019,ST20,0.157894737,0,0,0,0,0,0.355263158,0.013157895,0,0.289473684,0,0,0.131578947,0,0.263157895,0.184210526,0,0.197368421,0.842105263,0.092105263,0.263157895,0,0.013157895,0.157894737,,ST20
2020,ST20,0.157894737,0,0,0,0,0,0.355263158,0.013157895,0,0.289473684,0,0,0.131578947,0,0.263157895,0.184210526,0,0.197368421,0.842105263,0.092105263,0.263157895,,0.171052632,0,0.039473684,ST20
2019,ST23,0.909574468,0.792553191,0.936170213,0.867021277,0.829787234,0.893617021,0.14893617,0.021276596,0.010638298,0.132978723,0,0.063829787,0.074468085,0.021276596,0.14893617,0.10106383,0,0.122340426,0.218085106,0.138297872,0.127659574,0,0.936170213,0,,ST23
2020,ST23,0.909574468,0.808510638,0.930851064,0.861702128,0.835106383,0.824468085,0.164893617,0.021276596,0.015957447,0.132978723,0.010638298,0.063829787,0.10106383,0.021276596,0.14893617,0.10106383,0,0.122340426,0.218085106,0.138297872,0.132978723,,0.946808511,0,0.021276596,ST23
2019,ST25,0.50877193,0,0.280701754,0.157894737,0.157894737,0.087719298,0.719298246,0.01754386,0,0.350877193,0,0.175438596,0.456140351,0.122807018,0.684210526,0.631578947,0,0.649122807,0.596491228,0.192982456,0.298245614,0,0.859649123,0,,ST25
2020,ST25,0.50877193,0,0.280701754,0.157894737,0.157894737,0.070175439,0.719298246,0.035087719,0,0.368421053,0.140350877,0.175438596,0.456140351,0.122807018,0.684210526,0.614035088,0,0.649122807,0.578947368,0.192982456,0.368421053,,0.859649123,0,0.070175439,ST25
2019,ST29,0.5,0.010869565,0.054347826,0.076086957,0.054347826,0.043478261,0.543478261,0.043478261,0,0.565217391,0,0.043478261,0.52173913,0.043478261,0.597826087,0.5,0,0.510869565,0.97826087,0.032608696,0.510869565,0,0.02173913,0.010869565,,ST29
2020,ST29,0.5,0.010869565,0.043478261,0.065217391,0.054347826,0.043478261,0.565217391,0.043478261,0,0.565217391,0,0.043478261,0.532608696,0.043478261,0.608695652,0.5,0,0.510869565,0.967391304,0.032608696,0.532608696,,0.02173913,0,0.097826087,ST29
2019,ST34,0,0,0,0,0,0,0.161290323,0,0,0.193548387,0,0.096774194,0.112903226,0.048387097,0.629032258,0.564516129,0,0.112903226,0.612903226,0.14516129,0.629032258,0,0.016129032,0.951612903,,ST34
2020,ST34,0,0,0,0,0,0,0.161290323,0,0,0.193548387,0.016129032,0.096774194,0.112903226,0.048387097,0.629032258,0.564516129,0,0.112903226,0.129032258,0.64516129,0.629032258,,0,0.951612903,0.225806452,ST34
2019,ST35,0.489130435,0,0.152173913,0.02173913,0,0,0.402173913,0.010869565,0,0.304347826,0,0.173913043,0.239130435,0.076086957,0.293478261,0.304347826,0,0.22826087,0.347826087,0.173913043,0.304347826,0,0.913043478,0.010869565,,ST35
2020,ST35,0.47826087,0,0.152173913,0.02173913,0,0,0.402173913,0.02173913,0,0.304347826,0.054347826,0.173913043,0.239130435,0.076086957,0.293478261,0.304347826,0,0.22826087,0.336956522,0.184782609,0.293478261,,0.923913043,0.010869565,0.054347826,ST35
2019,ST36,0.413043478,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.369565217,0,0,0.152173913,0,0.086956522,0.173913043,0.065217391,0.347826087,0.217391304,0,0.282608696,0.304347826,0.195652174,0.152173913,0,0.934782609,0,,ST36
2020,ST36,0.413043478,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.391304348,0.02173913,0,0.152173913,0.02173913,0.086956522,0.173913043,0.065217391,0.347826087,0.217391304,0,0.282608696,0.260869565,0.195652174,0.152173913,,0.934782609,0,0.086956522,ST36
2019,ST37,0.255813953,0,0.01744186,0.011627907,0,0,0.546511628,0.046511628,0.011627907,0.436046512,0,0.162790698,0.343023256,0.11627907,0.476744186,0.377906977,0,0.465116279,0.459302326,0.290697674,0.308139535,0,0.930232558,0.011627907,,ST37
2020,ST37,0.255813953,0,0.011627907,0,0,0,0.546511628,0.058139535,0.011627907,0.436046512,0.098837209,0.162790698,0.343023256,0.11627907,0.476744186,0.377906977,0,0.465116279,0.441860465,0.290697674,0.308139535,,0.930232558,0.005813953,0.238372093,ST37
2019,ST39,0.526315789,0,0,0,0,0,0.815789474,0,0,0.578947368,0,0.131578947,0.552631579,0.052631579,0.815789474,0.736842105,0,0.789473684,0.684210526,0.157894737,0.578947368,0,0.947368421,0,,ST39
2020,ST39,0.526315789,0,0,0,0,0,0.815789474,0,0,0.578947368,0.052631579,0.131578947,0.552631579,0.052631579,0.815789474,0.736842105,0,0.789473684,0.684210526,0.157894737,0.578947368,,0.947368421,0,0.210526316,ST39
2019,ST45,0.94047619,0,0.011904762,0.011904762,0.011904762,0,0.654761905,0.029761905,0,0.505952381,0,0.053571429,0.476190476,0.029761905,0.619047619,0.577380952,0,0.636904762,0.583333333,0.404761905,0.494047619,0,0.178571429,0.785714286,,ST45
2020,ST45,0.94047619,0,0.011904762,0.011904762,0.011904762,0,0.660714286,0.029761905,0,0.505952381,0.011904762,0.053571429,0.482142857,0.029761905,0.619047619,0.577380952,0,0.636904762,0.589285714,0.410714286,0.505952381,,0.952380952,0,0.113095238,ST45
2019,ST48,0.83908046,0.149425287,0.114942529,0,0.011494253,0.057471264,0.896551724,0.08045977,0,0.643678161,0,0.448275862,0.528735632,0.034482759,0.83908046,0.563218391,0,0.666666667,0.770114943,0.114942529,0.75862069,0,0.712643678,0,,ST48
2020,ST48,0.83908046,0.149425287,0.103448276,0,0.011494253,0.057471264,0.896551724,0.08045977,0,0.643678161,0.045977011,0.448275862,0.574712644,0.034482759,0.83908046,0.563218391,0,0.666666667,0.770114943,0.114942529,0.770114943,,0.724137931,0,0.011494253,ST48
2019,ST65,0.685714286,0.657142857,0.914285714,0.942857143,0.885714286,0.885714286,0.114285714,0,0,0.371428571,0,0.285714286,0.028571429,0.085714286,0.085714286,0.057142857,0,0.114285714,0.371428571,0.428571429,0.057142857,0,0.914285714,0,,ST65
2020,ST65,0.685714286,0.657142857,0.914285714,0.942857143,0.914285714,0.8,0.142857143,0,0,0.371428571,0,0.285714286,0.028571429,0.085714286,0.085714286,0.057142857,0,0.114285714,0.342857143,0.428571429,0.057142857,,0.942857143,0,0.028571429,ST65
2019,ST86,0.683333333,0,0.733333333,0.816666667,0.85,0.683333333,0.083333333,0.066666667,0.016666667,0.15,0,0.05,0.05,0.016666667,0.033333333,0.05,0,0.05,0.983333333,0.15,0.066666667,0,0,0.016666667,,ST86
2020,ST86,0.683333333,0,0.733333333,0.816666667,0.85,0.516666667,0.116666667,0.066666667,0.016666667,0.15,0.016666667,0.05,0.05,0.016666667,0.033333333,0.05,0,0.05,0.116666667,0.15,0.066666667,,0.95,0,0.016666667,ST86
2019,ST101,0.949416342,0,0.015564202,0,0.011673152,0.011673152,0.953307393,0.108949416,0,0.968871595,0,0.225680934,0.673151751,0.128404669,0.634241245,0.649805447,0.003891051,0.778210117,0.984435798,0.618677043,0.86381323,0,0.073929961,0.046692607,,ST101
2020,ST101,0.949416342,0,0.011673152,0,0.011673152,0.011673152,0.957198444,0.108949416,0,0.968871595,0.089494163,0.225680934,0.680933852,0.128404669,0.634241245,0.649805447,0.003891051,0.778210117,0.929961089,0.618677043,0.86770428,,0.972762646,0.011673152,0.673151751,ST101
2019,ST111,0.513513514,0,0,0.027027027,0.027027027,0,0.216216216,0,0,0.135135135,0,0,0.135135135,0,0.189189189,0.135135135,0,0.216216216,0.216216216,0.081081081,0.108108108,0,0.918918919,0,,ST111
2020,ST111,0.486486486,0,0,0.027027027,0.027027027,0,0.216216216,0,0,0.135135135,0,0,0.135135135,0,0.189189189,0.135135135,0,0.216216216,0.162162162,0.081081081,0.162162162,,0.918918919,0,0.081081081,ST111
2019,ST147,0.485106383,0,0.038297872,0.012765957,0.017021277,0.021276596,0.893617021,0.123404255,0,0.995744681,0,0.480851064,0.69787234,0.370212766,0.825531915,0.476595745,0,0.787234043,0.791489362,0.685106383,0.8,0,0.944680851,0.021276596,,ST147
2020,ST147,0.476595745,0,0.038297872,0.012765957,0.017021277,0.012765957,0.914893617,0.157446809,0,0.995744681,0.217021277,0.480851064,0.706382979,0.370212766,0.825531915,0.476595745,0,0.787234043,0.782978723,0.685106383,0.804255319,,0.961702128,0.017021277,0.50212766,ST147
2019,ST152,0.659574468,0,0.021276596,0.021276596,0.021276596,0.021276596,0.829787234,0,0,0.808510638,0,0.510638298,0.787234043,0.574468085,0.787234043,0.446808511,0,0.765957447,1,0.234042553,0.765957447,0,0.29787234,0,,ST152
2020,ST152,0.659574468,0,0.021276596,0.021276596,0.021276596,0.021276596,0.829787234,0,0,0.808510638,0.191489362,0.510638298,0.787234043,0.574468085,0.787234043,0.446808511,0,0.765957447,0.765957447,0.234042553,0.765957447,,0.957446809,0,0.127659574,ST152
2019,ST231,0.901785714,0,0.642857143,0,0,0,0.982142857,0.151785714,0,1,0,0.785714286,0.821428571,0.75,0.919642857,0.25,0,0.928571429,0.991071429,0.767857143,0.901785714,0,0.035714286,0.017857143,,ST231
2020,ST231,0.901785714,0,0.642857143,0,0,0,1,0.151785714,0,1,0.035714286,0.785714286,0.821428571,0.75,0.928571429,0.25,0,0.928571429,0.9375,0.776785714,0.910714286,,0.848214286,0,0.767857143,ST231
2019,ST258,0.415949961,0.268178264,0.001563722,0.000781861,0,0,0.98123534,0.143862392,0,1,0,0.644253323,0.725566849,0.014855356,0.88663018,0.086786552,0,0.808444097,0.84910086,0.953870211,0.512900704,0,0.51915559,0.129788898,,ST258
2020,ST258,0.415949961,0.267396403,0.000781861,0.000781861,0,0,0.982017201,0.143862392,0,1,0.001563722,0.645035184,0.725566849,0.014855356,0.887412041,0.086786552,0,0.808444097,0.832681783,0.953870211,0.59421423,,0.52853792,0.099296325,0.999218139,ST258
2019,ST268,0.733333333,0.233333333,0.266666667,0.25,0.25,0.266666667,0.5,0,0,0.383333333,0,0.083333333,0.483333333,0.066666667,0.366666667,0.35,0,0.466666667,0.5,0.133333333,0.466666667,0,0.983333333,0,,ST268
2020,ST268,0.737704918,0.262295082,0.278688525,0.262295082,0.262295082,0.278688525,0.491803279,0,0,0.37704918,0,0.081967213,0.475409836,0.06557377,0.360655738,0.360655738,0,0.459016393,0.491803279,0.147540984,0.459016393,,0.983606557,0,0.049180328,ST268
2019,ST307,0.241245136,0,0.011673152,0,0,0.011673152,0.918287938,0.046692607,0,1,0,0.015564202,0.789883268,0.035019455,0.805447471,0.634241245,0,0.910505837,1,0.536964981,0.848249027,0,0.159533074,0.019455253,,ST307
2020,ST307,0.241245136,0,0.011673152,0,0,0.011673152,0.93385214,0.046692607,0,1,0.042801556,0.015564202,0.817120623,0.035019455,0.805447471,0.638132296,0,0.914396887,1,0.540856031,0.848249027,,0.167315175,0,0.171206226,ST307
2019,ST323,0.046153846,0,0,0.015384615,0,0,0.861538462,0.046153846,0,0.769230769,0,0.030769231,0.707692308,0.046153846,0.784615385,0.661538462,0,0.861538462,1,0.076923077,0.815384615,0,0,0,,ST323
2020,ST323,0.046153846,0,0,0,0,0,0.892307692,0.046153846,1,0.753846154,0.046153846,0.030769231,0.707692308,0.046153846,0.784615385,0.661538462,0,0.846153846,0.861538462,0.076923077,0.8,,1,0,0.2,ST323
2019,ST336,0.948717949,0,0,0,0,0,0.923076923,0,0,0.871794872,0,0.487179487,0.794871795,0,0.794871795,0.461538462,0,0.948717949,0.923076923,0.205128205,0.846153846,0,0.871794872,0.025641026,,ST336
2020,ST336,0.948717949,0,0,0,0,0,0.974358974,0.025641026,0,0.871794872,0.025641026,0.487179487,0.820512821,0,0.794871795,0.461538462,0,0.948717949,0.923076923,0.205128205,0.846153846,,0.871794872,0,0.128205128,ST336
2019,ST340,0.183673469,0,0,0.010204082,0,0,0.989795918,0.142857143,0,1,0,0.428571429,0.734693878,0.12244898,0.897959184,0.581632653,0,0.846938776,0.857142857,0.479591837,0.867346939,0,0.908163265,0.142857143,,ST340
2020,ST340,0.173469388,0,0,0,0,0,0.989795918,0.142857143,0,1,0.081632653,0.428571429,0.806122449,0.12244898,0.908163265,0.581632653,0,0.846938776,0.857142857,0.479591837,0.867346939,,0.918367347,0.142857143,0.244897959,ST340
2019,ST392,0.054054054,0,0,0,0,0,0.945945946,0.108108108,0,1,0,0.054054054,0.864864865,0,0.837837838,0.621621622,0,0.972972973,0.918918919,0.405405405,0.918918919,0,0.945945946,0,,ST392
2020,ST392,0.054054054,0,0,0,0,0,0.972972973,0.108108108,0,1,0.081081081,0.054054054,0.864864865,0,0.837837838,0.621621622,0,0.972972973,0.918918919,0.405405405,0.918918919,,0.972972973,0,0.351351351,ST392
2019,ST395,0.510638298,0,0.085106383,0,0,0.063829787,0.808510638,0.021276596,0,1,0,0.446808511,0.829787234,0.14893617,0.893617021,0.744680851,0,0.872340426,0.787234043,0.617021277,0.808510638,0,0.957446809,0,,ST395
2020,ST395,0.510638298,0,0.085106383,0,0,0.021276596,0.936170213,0.021276596,0,1,0.361702128,0.446808511,0.829787234,0.14893617,0.893617021,0.744680851,0,0.893617021,0.787234043,0.638297872,0.808510638,,0.957446809,0,0.936170213,ST395
2019,ST405,0.931506849,0,0,0,0,0,0.808219178,0,0,0.808219178,0,0,0.753424658,0,0.767123288,0.575342466,0,0.863013699,0.821917808,0.260273973,0.726027397,0,1,0,,ST405
2020,ST405,0.931506849,0,0,0,0,0,0.821917808,0,0,0.808219178,0,0,0.780821918,0,0.767123288,0.575342466,0,0.863013699,0.821917808,0.260273973,0.726027397,,1,0,0.191780822,ST405
2019,ST437,0.077922078,0.025974026,0.038961039,0,0,0,0.961038961,0.155844156,0,1,0,0.727272727,0.779220779,0.090909091,0.883116883,0.662337662,0,0.805194805,0.792207792,0.454545455,0.766233766,0,0.961038961,0,,ST437
2020,ST437,0.077922078,0.025974026,0.012987013,0,0,0,0.974025974,0.155844156,0,1,0.064935065,0.727272727,0.779220779,0.090909091,0.896103896,0.662337662,0,0.805194805,0.805194805,0.454545455,0.766233766,,0.974025974,0,0.402597403,ST437
2019,ST512,0.005449591,0,0.008174387,0,0,0,0.997275204,0.196185286,0,1,0,0.809264305,0.841961853,0.002724796,0.964577657,0.019073569,0,0.855585831,0.790190736,0.975476839,0.010899183,0,0.989100817,0.103542234,,ST512
2020,ST512,0.005449591,0,0.008174387,0,0,0,0.997275204,0.196185286,0,1,0,0.809264305,0.844686649,0.002724796,0.964577657,0.021798365,0,0.855585831,0.792915531,0.975476839,0.013623978,,0.989100817,0.079019074,1,ST512
2019,ST661,0.242424242,0,0.03030303,0,0,0,0.181818182,0,0,0.151515152,0,0.121212121,0.121212121,0,0.181818182,0.121212121,0,0.181818182,0.151515152,0.151515152,1,0,0,0,,ST661
2020,ST661,0.242424242,0,0.03030303,0,0,0,0.181818182,0,0,0.151515152,0.03030303,0.121212121,0.121212121,0,0.181818182,0.121212121,0,0.181818182,0.151515152,0.151515152,1,,0,0,0.03030303,ST661
2019,ST874,0,0,0,0,0,0,0.925,0,0,1,0,0.825,0.725,0,0.95,0.45,0,0.95,0.975,0.025,0.85,0,0.25,0,,ST874
2020,ST874,0,0,0,0,0,0,0.925,0,0,1,0,0.825,0.725,0,0.95,0.45,0,0.95,1,0.025,0.85,,0.1,0,0,ST874
2019,ST3128,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0.780487805,0,0.219512195,0,0,0,,ST3128
2020,ST3128,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0.682926829,0,0.219512195,,0.097560976,0,0,ST3128