year,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,AGly,Col,Fcyn,Flq,Gly,MLS,Phe,Rif,Sul,Tet,Tgc,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_broad,Bla_broad_inhR
2001,0.259259259,0.444444444,3.481481481,4.925925926,0.111111111,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.407407407,0.074074074,0,0.37037037,0,0.222222222,0.259259259,0,0.444444444,0.333333333,0,0.407407407,0.407407407,0,0.444444444,0.518518519,0
2002,0.634920635,0.349206349,3.333333333,4.666666667,0.253968254,0.095238095,0.095238095,0.063492063,0.063492063,0.015873016,0.396825397,0.111111111,0.015873016,0.301587302,0,0.126984127,0.301587302,0.031746032,0.412698413,0.285714286,0,0.317460317,0.380952381,0.015873016,0.317460317,0.666666667,0.031746032
2003,0.594594595,0.594594595,4.864864865,7.27027027,0.27027027,0.081081081,0.081081081,0.081081081,0.054054054,0.054054054,0.702702703,0.081081081,0,0.621621622,0,0.243243243,0.513513514,0,0.594594595,0.351351351,0,0.567567568,0.594594595,0.054054054,0.513513514,0.567567568,0.054054054
2004,0.513513514,0.72972973,5.486486486,9.067567568,0.256756757,0.094594595,0.054054054,0.067567568,0.067567568,0.054054054,0.837837838,0.027027027,0.027027027,0.635135135,0,0.351351351,0.581081081,0.067567568,0.662162162,0.391891892,0,0.648648649,0.702702703,0.162162162,0.472972973,0.621621622,0
2005,0.610294118,0.639705882,4.808823529,7.389705882,0.257352941,0.066176471,0.095588235,0.110294118,0.102941176,0.088235294,0.713235294,0.058823529,0,0.5,0,0.272058824,0.5,0.022058824,0.588235294,0.375,0,0.558823529,0.610294118,0.102941176,0.463235294,0.595588235,0.058823529
2006,0.391304348,0.608695652,4.52173913,7.02173913,0.224637681,0.036231884,0.043478261,0.050724638,0.050724638,0.043478261,0.623188406,0.057971014,0.007246377,0.52173913,0,0.297101449,0.5,0,0.550724638,0.326086957,0,0.5,0.565217391,0.086956522,0.463768116,0.528985507,0.057971014
2007,0.60483871,0.838709677,5.435483871,8.459677419,0.314516129,0.096774194,0.064516129,0.064516129,0.064516129,0.064516129,0.741935484,0.056451613,0.008064516,0.669354839,0,0.370967742,0.596774194,0.056451613,0.653225806,0.39516129,0,0.60483871,0.725806452,0.241935484,0.524193548,0.491935484,0.024193548
2008,0.97080292,1.087591241,5.766423358,8.890510949,0.379562044,0.145985401,0.145985401,0.145985401,0.145985401,0.072992701,0.766423358,0.051094891,0.02919708,0.671532847,0.00729927,0.386861314,0.583941606,0.080291971,0.700729927,0.284671533,0,0.642335766,0.664233577,0.357664234,0.583941606,0.598540146,0.02189781
2009,0.714285714,1.081632653,5.632653061,8.62585034,0.31292517,0.102040816,0.095238095,0.095238095,0.088435374,0.074829932,0.734693878,0.034013605,0,0.585034014,0,0.333333333,0.605442177,0.040816327,0.68707483,0.333333333,0,0.68707483,0.680272109,0.367346939,0.482993197,0.659863946,0.081632653
2010,0.47311828,1.413978495,6.043010753,9.586021505,0.258064516,0.086021505,0.043010753,0.043010753,0.048387097,0.021505376,0.806451613,0.107526882,0.010752688,0.715053763,0.043010753,0.387096774,0.61827957,0.032258065,0.709677419,0.258064516,0,0.61827957,0.698924731,0.553763441,0.569892473,0.516129032,0.096774194
2011,0.633962264,1.305660377,5.98490566,8.901886792,0.41509434,0.105660377,0.037735849,0.037735849,0.037735849,0.026415094,0.79245283,0.094339623,0.003773585,0.724528302,0.030188679,0.354716981,0.618867925,0.056603774,0.690566038,0.316981132,0,0.679245283,0.664150943,0.467924528,0.520754717,0.60754717,0.026415094
2012,0.566666667,1.193333333,5.737777778,8.977777778,0.377777778,0.075555556,0.037777778,0.042222222,0.033333333,0.02,0.737777778,0.075555556,0.013333333,0.706666667,0.044444444,0.326666667,0.564444444,0.035555556,0.677777778,0.333333333,0,0.613333333,0.653333333,0.417777778,0.562222222,0.595555556,0.033333333
2013,0.593597773,1.230340988,5.514265832,8.469728601,0.4217119,0.082115518,0.029923452,0.019485038,0.019485038,0.016701461,0.692414753,0.079331942,0.020180932,0.662491301,0.032707029,0.301322199,0.498956159,0.068893528,0.611691023,0.277661795,0,0.582463466,0.651356994,0.459986082,0.500347947,0.693110647,0.032707029
2014,0.67580872,1.146272855,5.509845288,8.640646976,0.460618847,0.088607595,0.042194093,0.035864979,0.030942335,0.0302391,0.682841069,0.076652602,0.021097046,0.629395218,0.036568214,0.287623066,0.494374121,0.074542897,0.620253165,0.340365682,0,0.563291139,0.636427567,0.41350211,0.523206751,0.705344585,0.040787623
2015,0.768691589,1.221962617,5.948598131,8.955607477,0.497663551,0.046728972,0.074766355,0.044392523,0.046728972,0.053738318,0.775700935,0.08411215,0.058411215,0.761682243,0.060747664,0.280373832,0.495327103,0.119158879,0.60046729,0.404205607,0.002336449,0.623831776,0.796728972,0.41588785,0.654205607,0.609813084,0.002336449
2016,1.204663212,1.60880829,6.53626943,9.458549223,0.567357513,0.062176166,0.191709845,0.095854922,0.139896373,0.139896373,0.766839378,0.137305699,0.103626943,0.751295337,0.090673575,0.341968912,0.492227979,0.170984456,0.60880829,0.474093264,0,0.588082902,0.712435233,0.637305699,0.634715026,0.727979275,0.010362694
2017,0.923728814,1.440677966,6.203389831,9.288135593,0.576271186,0.029661017,0.105932203,0.029661017,0.046610169,0.046610169,0.720338983,0.080508475,0.042372881,0.716101695,0.156779661,0.31779661,0.440677966,0.169491525,0.516949153,0.406779661,0,0.593220339,0.639830508,0.618644068,0.665254237,0.754237288,0.004237288